Producto,Codígo de Barras,Precio
HIERBAS GUIGNARD CARNICERA ULCERAS ,7796016000181,1074.2979736328125
GUIGNARD 55G            ,7796016000136,1074.2979736328125
HIERBAS GUIGNARD AQUILEA Y MALVA   ,14020,1074.2979736328125
HIERBAS GUIGNARD AQUILEA Y MALVA   ,7796016000136,1074.2979736328125
GUIGNARD 55G            ,7796016000259,1074.2979736328125
HIERBAS GUIGNARD BURRITO           ,14021,1074.2979736328125
HIERBAS GUIGNARD BURRITO           ,7796016000259,1074.2979736328125
GUIGNARD 55G            ,7796016000266,1074.2979736328125
HIERBAS GUIGNARD CEDRON            ,14022,1074.2979736328125
HIERBAS GUIGNARD CEDRON            ,7796016000266,1074.2979736328125
GUIGNARD 55G            ,7796016000082,1074.2979736328125
HIERBAS GUIGNARD UVA URSI MALVA PER,14023,1074.2979736328125
HIERBAS GUIGNARD UVA URSI MALVA PER,7796016000082,1074.2979736328125
GUIGNARD 55G            ,7796016000037,1074.2979736328125
HIERBAS GUIGNARD ADELGAZANTE       ,14025,1074.2979736328125
HIERBAS GUIGNARD ADELGAZANTE       ,7796016000037,1074.2979736328125
LEVADURA PARALEVA 500G,7840137000015,3595.041015625
LEVADURA PARALEVA X 500 GR,7840137000015,3595.041015625
LEVADURA PARALEVA X 500 GR,7798018851587,3595.041015625
GUIGNARD 55G            ,7796016000280,1074.2979736328125
HIERBAS GUIGNARD COLA DE CABALLO   ,14026,1074.2979736328125
HIERBAS GUIGNARD COLA DE CABALLO   ,7796016000280,1074.2979736328125
GUIGNARD 55G            ,7796016000211,1074.2979736328125
HIERBAS GUIGNARD MANZANILLA        ,14029,1074.2979736328125
HIERBAS GUIGNARD MANZANILLA        ,7796016000211,1074.2979736328125
GUIGNARD 55G            ,7796016000020,1074.2979736328125
HIERBAS GUIGNARD DIGESTIVO 7 HIERBA,14030,1074.2979736328125
HIERBAS GUIGNARD DIGESTIVO 7 HIERBA,7796016000020,1074.2979736328125
GUIGNARD 55G            ,7796016000068,1074.2979736328125
